batsman,bowler,inning,batsman_runs,is_wicket
DR Smith,VS Malik,30,19,0
F du Plessis,MC Henriques,30,19,1
IK Pathan,AD Mathews,30,19,1
JH Kallis,AB Agarkar,30,19,1
MS Dhoni,Abdul Samad,30,19,0
Mandeep Singh,VR Aaron,30,19,2
PP Chawla,L Balaji,30,19,1
STR Binny,B Kumar,30,19,1
V Shankar,S Gopal,30,19,1
WP Saha,MG Johnson,30,19,0
AR Patel,CH Morris,29,19,1
GC Smith,I Sharma,29,19,1
BA Stokes,KH Pandya,28,19,0
CH Gayle,JA Morkel,28,19,0
DR Smith,PP Ojha,28,19,1
F du Plessis,SK Trivedi,28,19,0
KA Pollard,I Sharma,28,19,1
LMP Simmons,Shivam Sharma,28,19,0
MA Agarwal,A Nortje,28,19,0
SA Yadav,HF Gurney,28,19,0
SR Tendulkar,GB Hogg,28,19,0
Yuvraj Singh,M Kartik,28,19,0
D Padikkal,PJ Cummins,27,19,0
DA Miller,A Nehra,27,19,0
DJ Bravo,Yuvraj Singh,27,19,0
IK Pathan,PP Chawla,27,19,0
JC Buttler,NA Saini,27,19,1
R Dravid,P Negi,27,19,0
SB Styris,JA Morkel,27,19,0
AJ Finch,VR Aaron,26,19,0
B Chipli,R Bhatia,26,19,1
JA Morkel,PP Ojha,26,19,2
KK Nair,AR Patel,26,19,2
KP Pietersen,DT Christian,26,19,1
N Jagadeesan,YS Chahal,26,19,0
PC Valthaty,R Ashwin,26,19,0
SA Asnodkar,M Ntini,26,19,0
SPD Smith,Mustafizur Rahman,26,19,0
SR Watson,KL Nagarkoti,26,19,0
IK Pathan,SL Malinga,25,19,2
MA Agarwal,Pankaj Singh,25,19,1
MEK Hussey,MA Starc,25,19,0
P Dogra,S Ladda,25,19,1
S Badrinath,A Nehra,25,19,1
SK Raina,KK Cooper,25,19,2
SR Tendulkar,Yuvraj Singh,25,19,1
V Sehwag,BW Hilfenhaus,25,19,2
V Sehwag,M Muralitharan,25,19,1
Yuvraj Singh,Sandeep Sharma,25,19,0
AD Russell,RA Jadeja,24,19,0
JA Morkel,SR Watson,24,19,1
JC Archer,JJ Bumrah,24,19,1
R Dravid,SK Warne,24,19,0
Yuvraj Singh,R Sharma,24,19,0
AT Rayudu,STR Binny,23,19,1
KD Karthik,MP Stoinis,23,19,0
LMP Simmons,DS Kulkarni,23,19,1
M Vijay,AB Agarkar,23,19,1
N Rana,HV Patel,23,19,2
PA Patel,TG Southee,23,19,0
S Dhawan,KW Richardson,23,19,1
SE Marsh,KK Cooper,23,19,2
SS Tiwary,B Kumar,23,19,0
Y Venugopal Rao,KA Pollard,23,19,1
YK Pathan,AB Dinda,23,19,1
DA Warner,Azhar Mahmood,22,19,0
DA Warner,Shakib Al Hasan,22,19,1
F du Plessis,PJ Cummins,22,19,1
JC Buttler,M Markande,22,19,0
KD Karthik,ST Jayasuriya,22,19,0
MS Dhoni,STR Binny,22,19,0
Mandeep Singh,UT Yadav,22,19,2
PA Patel,S Lamichhane,22,19,1
R Sathish,A Mishra,22,19,0
SPD Smith,P Suyal,22,19,0
SV Samson,Mohammed Siraj,22,19,2
TM Dilshan,R Vinay Kumar,22,19,0
Y Venugopal Rao,Umar Gul,22,19,0
AC Gilchrist,B Kumar,21,19,1
DJ Hooda,Imran Tahir,21,19,1
G Gambhir,STR Binny,21,19,0
GJ Bailey,A Mishra,21,19,1
Gurkeerat Singh,A Mishra,21,19,1
KL Rahul,R Bhatia,21,19,1
RV Uthappa,R Tewatia,21,19,1
SK Raina,DS Kulkarni,21,19,1
CH Gayle,YA Abdulla,20,19,1
DS Kulkarni,R Ashwin,20,19,1
JA Morkel,Pankaj Singh,20,19,0
JC Buttler,CR Woakes,20,19,1
M Vijay,M de Lange,20,19,0
MK Pandey,DT Christian,20,19,1
Q de Kock,A Nehra,20,19,0
RA Jadeja,TM Dilshan,20,19,0
S Dhawan,KJ Abbott,20,19,0
V Kohli,FH Edwards,20,19,0
AD Hales,UT Yadav,19,19,0
GJ Maxwell,SL Malinga,19,19,0
SK Raina,PJ Cummins,19,19,1
SPD Smith,D Wiese,19,19,1
SR Tendulkar,R Sharma,19,19,2
SV Samson,JO Holder,19,19,1
AM Nayar,J Botha,18,19,1
AM Rahane,JH Kallis,18,19,0
DA Miller,R Rampaul,18,19,0
GJ Maxwell,AS Rajpoot,18,19,1
JC Buttler,Imran Tahir,18,19,1
JP Duminy,Harmeet Singh,18,19,0
KD Karthik,PV Tambe,18,19,1
MK Pandey,MP Stoinis,18,19,1
OA Shah,R Bhatia,18,19,0
R Bhatia,RP Singh,18,19,2
RA Jadeja,Karanveer Singh,18,19,0
SE Marsh,AA Chavan,18,19,0
Shubman Gill,M Ashwin,18,19,0
YK Pathan,NM Coulter-Nile,18,19,1
A Symonds,R Ashwin,17,19,1
AA Jhunjhunwala,M Kartik,17,19,1
AM Rahane,JP Faulkner,17,19,1
KK Nair,Sandeep Sharma,17,19,0
MC Henriques,Kuldeep Yadav,17,19,1
OA Shah,SL Malinga,17,19,1
RA Jadeja,A Nehra,17,19,1
S Dhawan,PJ Cummins,17,19,1
SK Raina,A Symonds,17,19,1
SR Watson,MF Maharoof,17,19,0
SS Iyer,J Yadav,17,19,0
AJ Finch,LH Ferguson,16,19,1
AT Rayudu,MJ McClenaghan,16,19,0
CJ Anderson,CH Morris,16,19,1
DJG Sammy,Shakib Al Hasan,16,19,2
JC Buttler,Harbhajan Singh,16,19,0
JC Buttler,Iqbal Abdulla,16,19,1
MA Agarwal,PP Chawla,16,19,2
MC Henriques,NLTC Perera,16,19,0
MEK Hussey,R Shukla,16,19,0
MF Maharoof,Harbhajan Singh,16,19,0
MK Pandey,M Morkel,16,19,0
RA Jadeja,K Rabada,16,19,1
SE Marsh,RA Jadeja,16,19,0
SP Narine,KK Ahmed,16,19,2
SR Watson,Avesh Khan,16,19,0
VVS Laxman,S Sreesanth,16,19,1
BA Stokes,MJ McClenaghan,15,19,0
DT Christian,KA Pollard,15,19,0
M Vohra,IC Pandey,15,19,2
NV Ojha,Shakib Al Hasan,15,19,1
RE van der Merwe,PP Ojha,15,19,1
SK Raina,K Rabada,15,19,1
SV Samson,SM Curran,15,19,1
Shubman Gill,Mujeeb Ur Rahman,15,19,0
AP Tare,SR Watson,14,19,0
CA Pujara,MS Gony,14,19,1
DJ Hooda,Anureet Singh,14,19,1
DPMD Jayawardene,DJ Hussey,14,19,0
F du Plessis,P Sahu,14,19,0
G Gambhir,PM Sarvesh Kumar,14,19,0
KA Pollard,R Tewatia,14,19,0
M Vijay,DJ Hussey,14,19,0
M Vohra,PP Chawla,14,19,2
MEK Hussey,TM Dilshan,14,19,0
MS Bisla,MM Patel,14,19,0
RG Sharma,SJ Srivastava,14,19,0
RV Uthappa,B Lee,14,19,1
RV Uthappa,LMP Simmons,14,19,1
S Badrinath,TM Dilshan,14,19,0
SA Yadav,DW Steyn,14,19,0
SK Raina,B Lee,14,19,0
AB de Villiers,P Awana,13,19,1
AL Menaria,JH Kallis,13,19,0
AM Rahane,Harmeet Singh,13,19,0
DA Miller,VR Aaron,13,19,1
IK Pathan,P Awana,13,19,0
JP Duminy,A Mithun,13,19,0
KC Sangakkara,AD Mascarenhas,13,19,0
M Vijay,DR Smith,13,19,0
MA Agarwal,RA Jadeja,13,19,1
MS Bisla,DL Vettori,13,19,0
PP Shaw,Shakib Al Hasan,13,19,1
S Dhawan,SB Styris,13,19,0
SK Raina,BB Sran,13,19,0
AB de Villiers,SR Tendulkar,12,19,0
FY Fazal,AB Dinda,12,19,1
UBT Chand,Iqbal Abdulla,12,19,0
YK Pathan,BW Hilfenhaus,12,19,0
AS Raut,Anureet Singh,11,19,0
CJ Anderson,IC Pandey,11,19,0
DJ Hussey,HV Patel,11,19,1
DJG Sammy,MM Sharma,11,19,1
DJM Short,Shivam Mavi,11,19,0
DT Christian,J Botha,11,19,0
MM Ali,Sandeep Sharma,11,19,0
RA Jadeja,DL Vettori,11,19,1
RR Pant,SN Thakur,11,19,0
A Symonds,DJ Hussey,10,19,0
AC Gilchrist,AM Nayar,10,19,0
BB McCullum,NM Coulter-Nile,10,19,1
BJ Hodge,SB Styris,10,19,1
DA Warner,Gurkeerat Singh,10,19,0
DJ Bravo,Shahid Afridi,10,19,0
GJ Maxwell,IC Pandey,10,19,0
JP Faulkner,VR Aaron,10,19,0
K Gowtham,MM Sharma,10,19,0
KL Rahul,AS Joseph,10,19,0
KP Pietersen,AD Mathews,10,19,0
KP Pietersen,DL Vettori,10,19,1
MK Tiwary,MJ McClenaghan,10,19,0
Q de Kock,S Kaul,10,19,1
RG Sharma,B Laughlin,10,19,0
AL Menaria,Iqbal Abdulla,9,19,0
CA Ingram,KH Pandya,9,19,0
F du Plessis,MS Gony,9,19,0
HM Amla,AJ Tye,9,19,0
JA Morkel,AB Agarkar,9,19,0
JH Kallis,JEC Franklin,9,19,1
KA Pollard,J Syed Mohammad,9,19,0
MJ Lumb,SJ Srivastava,9,19,0
NLTC Perera,P Kumar,9,19,0
PA Patel,Harmeet Singh,9,19,0
S Dhawan,NA Saini,9,19,0
AB de Villiers,RV Gomez,8,19,0
B Akhil,LPC Silva,8,19,0
CH Gayle,SB Jakati,8,19,0
CH Morris,DR Smith,8,19,0
GC Smith,Abdur Razzak,8,19,0
JDP Oram,Shoaib Ahmed,8,19,0
KK Nair,GS Sandhu,8,19,0
PP Chawla,P Awana,8,19,1
AB McDonald,IK Pathan,7,19,0
MP Stoinis,JO Holder,7,19,0
MS Gony,SP Narine,7,19,0
SN Khan,PV Tambe,7,19,0
SO Hetmyer,AJ Tye,7,19,0
SS Tiwary,KH Pandya,7,19,0
YK Pathan,TG Southee,7,19,0
CR Brathwaite,UT Yadav,6,19,0
Harbhajan Singh,KAJ Roach,6,19,0
JA Morkel,I Sharma,6,19,0
OA Shah,CH Gayle,6,19,0
RR Pant,Rasikh Salam,6,19,0
CH Gayle,L Ablish,5,19,0
PP Shaw,S Kaul,5,19,0
S Dube,JL Pattinson,5,19,0
AM Rahane,DW Steyn,62,18,2
F du Plessis,R Vinay Kumar,58,18,1
KL Rahul,Rashid Khan,51,18,3
D Padikkal,R Tewatia,50,18,1
SR Tendulkar,L Balaji,50,18,1
DPMD Jayawardene,P Awana,48,18,0
JH Kallis,SK Warne,46,18,0
GC Smith,RP Singh,44,18,1
V Sehwag,PP Ojha,44,18,2
HH Pandya,Rashid Khan,43,18,2
SR Watson,Mohammed Shami,39,18,1
GJ Maxwell,RD Chahar,38,18,2
KL Rahul,CV Varun,38,18,1
V Sehwag,Mohammed Shami,38,18,1
G Gambhir,AB Agarkar,37,18,0
AR Patel,RD Chahar,36,18,0
AT Rayudu,S Aravind,36,18,0
D Padikkal,S Gopal,36,18,0
RV Uthappa,CR Brathwaite,36,18,1
SS Iyer,TG Southee,36,18,0
A Symonds,M Kartik,35,18,0
DPMD Jayawardene,DJ Bravo,35,18,0
BJ Hodge,SK Warne,34,18,1
RV Uthappa,AM Nayar,34,18,0
Yuvraj Singh,DS Kulkarni,34,18,1
M Vijay,MG Johnson,33,18,2
KP Pietersen,SR Watson,32,18,1
SR Tendulkar,DL Vettori,32,18,0
SS Iyer,GC Viljoen,32,18,1
TM Dilshan,I Sharma,32,18,3
V Kohli,Harmeet Singh,32,18,0
YK Pathan,IK Pathan,32,18,0
Gurkeerat Singh,MC Henriques,31,18,1
Q de Kock,S Gopal,31,18,1
EJG Morgan,R Vinay Kumar,30,18,1
M Vijay,JP Faulkner,30,18,1
RG Sharma,R Dhawan,30,18,0
SA Yadav,CH Morris,30,18,1
SK Raina,M Prasidh Krishna,30,18,0
BA Stokes,DL Chahar,29,18,2
MK Pandey,Iqbal Abdulla,29,18,2
PC Valthaty,A Mishra,29,18,2
Q de Kock,MM Sharma,29,18,1
RR Pant,R Ashwin,29,18,0
SR Tendulkar,CH Gayle,29,18,0
YK Pathan,MG Johnson,29,18,1
AJ Finch,JC Archer,28,18,0
AT Rayudu,JP Faulkner,28,18,2
F du Plessis,I Sharma,28,18,0
IK Pathan,L Balaji,28,18,2
MK Tiwary,SW Tait,28,18,0
N Rana,P Negi,28,18,1
PA Patel,J Botha,28,18,0
SV Samson,DJ Bravo,28,18,2
TM Dilshan,RA Jadeja,28,18,0
V Kohli,Rashid Khan,28,18,1
YK Pathan,JJ Bumrah,28,18,2
DJ Hussey,R Ashwin,27,18,3
MK Pandey,SP Narine,27,18,0
MK Tiwary,R Bhatia,27,18,0
SPD Smith,SM Curran,27,18,2
VVS Laxman,DJ Bravo,27,18,1
AA Jhunjhunwala,DS Kulkarni,26,18,0
AB de Villiers,S Sreesanth,26,18,2
AC Gilchrist,JD Unadkat,26,18,0
BB McCullum,CJ Anderson,26,18,0
CH Gayle,MM Sharma,26,18,0
G Gambhir,WPUJC Vaas,26,18,0
JJ Roy,A Dananjaya,26,18,0
KL Rahul,SL Malinga,26,18,1
MEK Hussey,S Aravind,26,18,0
MK Tiwary,SK Trivedi,26,18,1
PA Patel,J Theron,26,18,1
SK Raina,AS Rajpoot,26,18,0
V Kohli,R McLaren,26,18,0
DA Warner,PJ Sangwan,25,18,0
DJ Bravo,M Kartik,25,18,1
JA Morkel,A Nehra,25,18,1
M Vohra,AD Russell,25,18,2
MK Pandey,A Symonds,25,18,0
SC Ganguly,MS Gony,25,18,1
SP Narine,JD Unadkat,25,18,2
AR Patel,SP Narine,24,18,3
BA Stokes,PJ Sangwan,24,18,0
CJ Anderson,SR Watson,24,18,0
DA Miller,MA Starc,24,18,0
DPMD Jayawardene,CH Gayle,24,18,0
GH Vihari,PP Ojha,24,18,0
JH Kallis,WPUJC Vaas,24,18,1
MV Boucher,SL Malinga,24,18,0
Mandeep Singh,DT Christian,24,18,0
PA Reddy,J Botha,24,18,0
R Bhatia,RA Jadeja,24,18,1
DJ Hooda,SP Narine,23,18,2
GC Smith,MF Maharoof,23,18,2
MK Pandey,PJ Cummins,23,18,0
A Mishra,AB Dinda,22,18,1
AM Rahane,K Upadhyay,22,18,0
AP Majumdar,KP Appanna,22,18,0
BJ Hodge,VS Malik,22,18,0
DA Warner,AS Rajpoot,22,18,0
DA Warner,IC Pandey,22,18,1
DJ Bravo,Y Venugopal Rao,22,18,0
DJ Hussey,SB Styris,22,18,0
DPMD Jayawardene,BW Hilfenhaus,22,18,0
JM Bairstow,CH Morris,22,18,0
LRPL Taylor,I Sharma,22,18,0
MP Stoinis,S Nadeem,22,18,1
MS Dhoni,T Shamsi,22,18,0
NV Ojha,SK Raina,22,18,1
Q de Kock,MP Stoinis,22,18,2
R Tewatia,KL Nagarkoti,22,18,0
RE Levi,DE Bollinger,22,18,0
RR Pant,Abhishek Sharma,22,18,0
RR Pant,HV Patel,22,18,1
S Badrinath,A Mishra,22,18,1
SA Yadav,MM Sharma,22,18,1
SN Khan,JJ Bumrah,22,18,1
SR Tendulkar,S Nadeem,22,18,0
V Sehwag,S Sreesanth,22,18,1
Washington Sundar,GJ Maxwell,22,18,0
AB de Villiers,AG Murtaza,21,18,1
AR Patel,A Mishra,21,18,0
BB McCullum,MJ McClenaghan,21,18,1
BJ Hodge,R Ashwin,21,18,1
CH Gayle,Basil Thampi,21,18,2
GC Smith,SK Raina,21,18,2
Ishan Kishan,DJ Bravo,21,18,0
MK Pandey,R Bhatia,21,18,0
MK Tiwary,DJ Bravo,21,18,0
RA Jadeja,HV Patel,21,18,0
SE Marsh,L Balaji,21,18,1
SE Marsh,SP Narine,21,18,1
Shubman Gill,RA Jadeja,21,18,0
TL Suman,MC Henriques,21,18,1
YK Pathan,MJ McClenaghan,21,18,0
AB de Villiers,RD Chahar,20,18,0
AT Rayudu,RJ Harris,20,18,0
CA Lynn,CR Brathwaite,20,18,0
DJG Sammy,STR Binny,20,18,0
KH Pandya,AJ Tye,20,18,0
KL Rahul,KL Nagarkoti,20,18,0
KP Pietersen,RA Jadeja,20,18,0
LMP Simmons,YS Chahal,20,18,1
PD Collingwood,Harmeet Singh,20,18,0
RG Sharma,Shivam Mavi,20,18,2
SS Tiwary,RP Singh,20,18,1
SV Samson,MP Stoinis,20,18,2
TM Dilshan,FH Edwards,20,18,0
F du Plessis,R Sharma,19,18,1
GJ Bailey,AB Dinda,19,18,0
JP Duminy,RA Jadeja,19,18,0
KH Pandya,B Kumar,19,18,1
MS Dhoni,KK Ahmed,19,18,0
PA Patel,PJ Sangwan,19,18,1
SR Watson,IC Pandey,19,18,0
Y Venugopal Rao,SK Warne,19,18,1
YK Pathan,JD Unadkat,19,18,1
Yuvraj Singh,Y Venugopal Rao,19,18,1
A Ashish Reddy,Parvez Rasool,18,18,0
AT Rayudu,BB Sran,18,18,2
BA Stokes,Arshdeep Singh,18,18,0
BJ Hodge,Azhar Mahmood,18,18,0
CH Gayle,R Tewatia,18,18,0
CL White,M Muralitharan,18,18,0
GJ Maxwell,JD Unadkat,18,18,1
JD Ryder,JP Duminy,18,18,0
MJ Guptill,UT Yadav,18,18,0
MS Dhoni,Karanveer Singh,18,18,1
NV Ojha,S Tyagi,18,18,0
Q de Kock,Mustafizur Rahman,18,18,0
RA Tripathi,Rashid Khan,18,18,0
RR Pant,Iqbal Abdulla,18,18,0
RS Bopara,JD Ryder,18,18,0
RV Uthappa,SR Tendulkar,18,18,0
S Badrinath,J Theron,18,18,0
SE Marsh,BJ Hodge,18,18,0
SP Fleming,VY Mahesh,18,18,1
Shakib Al Hasan,KW Richardson,18,18,1
GJ Maxwell,KA Pollard,17,18,0
KD Karthik,MG Johnson,17,18,1
M Vijay,B Lee,17,18,0
MC Henriques,UT Yadav,17,18,1
MS Bisla,A Kumble,17,18,1
MS Dhoni,Avesh Khan,17,18,0
RA Jadeja,A Nortje,17,18,0
SE Marsh,IK Pathan,17,18,1
V Kohli,S Kaul,17,18,0
AC Gilchrist,SMSM Senanayake,16,18,1
AJ Finch,Kuldeep Yadav,16,18,1
BJ Hodge,R Bhatia,16,18,0
DB Ravi Teja,DJ Bravo,16,18,1
DPMD Jayawardene,TL Suman,16,18,1
FY Fazal,RP Singh,16,18,1
GJ Maxwell,TK Curran,16,18,0
KK Nair,Washington Sundar,16,18,0
N Rana,Swapnil Singh,16,18,0
Niraj Patel,S Sreesanth,16,18,0
RG Sharma,Rashid Khan,16,18,1
RV Uthappa,ST Jayasuriya,16,18,0
S Badrinath,S Nadeem,16,18,0
S Dhawan,Shakib Al Hasan,16,18,1
SK Raina,Harmeet Singh,16,18,1
ST Jayasuriya,IK Pathan,16,18,1
UBT Chand,YS Chahal,16,18,1
IK Pathan,R Rampaul,15,18,0
RV Uthappa,S Aravind,15,18,0
SA Yadav,PP Chawla,15,18,1
SE Marsh,MJ McClenaghan,15,18,2
SK Raina,TA Boult,15,18,1
SO Hetmyer,T Natarajan,15,18,0
SR Watson,R Sharma,15,18,0
V Sehwag,RJ Harris,15,18,0
Abdul Samad,JJ Bumrah,14,18,1
BJ Hodge,B Kumar,14,18,0
D Padikkal,TA Boult,14,18,1
Ishan Kishan,DS Kulkarni,14,18,1
JC Buttler,A Nortje,14,18,1
JH Kallis,CK Langeveldt,14,18,1
PP Chawla,DW Steyn,14,18,1
RG Sharma,VY Mahesh,14,18,0
SM Curran,JJ Bumrah,14,18,2
SS Tiwary,A Kumble,14,18,1
V Kohli,AM Nayar,14,18,0
V Sehwag,YA Abdulla,14,18,0
C Munro,Harbhajan Singh,13,18,0
F du Plessis,JA Morkel,13,18,1
Ishan Kishan,S Gopal,13,18,1
JA Morkel,Harbhajan Singh,13,18,1
KD Karthik,CJ Anderson,13,18,0
KM Jadhav,JH Kallis,13,18,0
N Rana,TA Boult,13,18,0
RG Sharma,WA Mota,13,18,0
S Dhawan,KC Cariappa,13,18,0
SP Narine,Shakib Al Hasan,13,18,2
AC Gilchrist,A Mithun,12,18,0
AC Gilchrist,NLTC Perera,12,18,0
BJ Hodge,DJG Sammy,12,18,0
EJG Morgan,Mohammed Shami,12,18,0
EJG Morgan,SW Tait,12,18,0
JP Faulkner,K Santokie,12,18,0
KC Sangakkara,SK Warne,12,18,1
LMP Simmons,Karanveer Singh,12,18,0
MEK Hussey,B Akhil,12,18,0
MEK Hussey,S Kaul,12,18,0
MK Tiwary,MG Johnson,12,18,1
Mandeep Singh,M Morkel,12,18,1
N Rana,DW Steyn,12,18,0
R Parag,KK Ahmed,12,18,0
RA Tripathi,C de Grandhomme,12,18,0
SM Katich,PJ Sangwan,12,18,0
SS Tiwary,PD Collingwood,12,18,0
UT Yadav,JP Faulkner,12,18,0
Y Venugopal Rao,A Mithun,12,18,0
A Mishra,JD Unadkat,11,18,0
AD Mathews,RP Singh,11,18,0
Azhar Mahmood,AD Russell,11,18,0
DJ Bravo,A Nehra,11,18,1
DJ Bravo,TA Boult,11,18,1
JP Duminy,JR Hopes,11,18,0
LMP Simmons,R Bhatia,11,18,0
MA Agarwal,AS Rajpoot,11,18,0
MEK Hussey,Ankit Sharma,11,18,1
RA Jadeja,Mohammed Shami,11,18,1
RR Pant,AJ Tye,11,18,0
S Sohal,DS Kulkarni,11,18,1
SC Ganguly,A Nehra,11,18,0
AJ Finch,Azhar Mahmood,10,18,0
AM Rahane,CJ Jordan,10,18,1
DR Smith,Rashid Khan,10,18,1
F du Plessis,RR Bhatkal,10,18,0
KM Jadhav,MA Starc,10,18,0
MV Boucher,V Sehwag,10,18,0
SP Narine,TU Deshpande,10,18,0
SW Billings,VR Aaron,10,18,0
Shubman Gill,KMA Paul,10,18,1
V Kohli,KJ Abbott,10,18,0
Y Venugopal Rao,J Botha,10,18,0
Yuvraj Singh,J Syed Mohammad,10,18,0
AD Russell,RD Chahar,9,18,0
KL Rahul,CR Woakes,9,18,0
P Negi,M de Lange,9,18,0
PP Shaw,PJ Cummins,9,18,0
R Tewatia,CR Woakes,9,18,0
S Dhawan,DJ Willey,9,18,0
V Sehwag,RR Powar,9,18,0
Ankit Sharma,R Ashwin,8,18,1
DA Miller,MM Sharma,8,18,0
DJ Bravo,DJ Hussey,8,18,0
DJM Short,GJ Maxwell,8,18,1
HH Pandya,CR Woakes,8,18,0
HH Pandya,M Prasidh Krishna,8,18,0
KC Sangakkara,NLTC Perera,8,18,0
M Vohra,CH Morris,8,18,0
MK Pandey,J Suchith,8,18,0
ML Hayden,RE van der Merwe,8,18,0
P Kumar,YA Abdulla,8,18,0
PA Patel,BA Stokes,8,18,0
PA Patel,P Sahu,8,18,0
STR Binny,A Nehra,8,18,0
AT Rayudu,B Stanlake,7,18,0
CH Gayle,Karanveer Singh,7,18,0
E Lewis,S Gopal,7,18,0
MK Pandey,TU Deshpande,7,18,0
N Pooran,PP Chawla,7,18,0
PD Collingwood,CL White,7,18,0
WP Saha,KA Pollard,7,18,0
AT Rayudu,Jaskaran Singh,6,18,0
E Lewis,DT Christian,6,18,0
KD Karthik,WPUJC Vaas,6,18,0
LJ Wright,P Kumar,6,18,0
MC Henriques,JD Unadkat,6,18,0
MK Pandey,TL Suman,6,18,0
S Dhawan,Kartik Tyagi,6,18,0
SP Goswami,PJ Sangwan,6,18,0
SR Watson,P Prasanth,6,18,0
STR Binny,J Botha,5,18,0
SR Watson,Shivam Sharma,4,18,0
V Sehwag,DJ Hussey,4,18,1
JH Kallis,A Singh,46,17,3
AJ Finch,RP Singh,44,17,0
SR Tendulkar,DE Bollinger,43,17,2
JH Kallis,AM Nayar,42,17,0
Yuvraj Singh,RA Jadeja,42,17,1
BB McCullum,S Aravind,40,17,0
K Goel,MS Gony,40,17,2
CL White,JA Morkel,39,17,1
JM Bairstow,DL Chahar,39,17,1
DJ Bravo,Harbhajan Singh,38,17,0
JH Kallis,ST Jayasuriya,38,17,0
F du Plessis,YS Chahal,37,17,1
SE Marsh,R Ashwin,37,17,0
G Gambhir,PV Tambe,36,17,0
KC Sangakkara,J Botha,36,17,2
KV Sharma,DJ Bravo,36,17,2
MS Dhoni,KH Pandya,36,17,0
RA Jadeja,R Bhatia,36,17,1
RV Uthappa,Joginder Sharma,36,17,1
M Vijay,SP Narine,35,17,2
SPD Smith,A Nehra,35,17,0
S Dhawan,DE Bollinger,34,17,1
G Gambhir,M Kartik,33,17,1
GJ Maxwell,UT Yadav,33,17,3
AM Rahane,S Gopal,32,17,1
JH Kallis,Harmeet Singh,32,17,1
MS Bisla,SB Jakati,32,17,1
V Kohli,B Lee,32,17,0
DA Miller,R Tewatia,31,17,0
F du Plessis,AS Rajpoot,31,17,1
GC Smith,JH Kallis,31,17,1
F du Plessis,Yuvraj Singh,30,17,0
KD Karthik,IS Sodhi,30,17,0
AM Rahane,JD Unadkat,29,17,1
KS Williamson,Mohammed Siraj,29,17,1
RG Sharma,DP Nannes,29,17,1
RV Uthappa,MP Stoinis,29,17,1
AC Gilchrist,R Vinay Kumar,28,17,1
AM Rahane,J Suchith,28,17,0
JC Buttler,TA Boult,28,17,0
LMP Simmons,BE Hendricks,28,17,0
PD Collingwood,R Sharma,28,17,0
RR Pant,NM Coulter-Nile,28,17,3
SR Tendulkar,RE van der Merwe,28,17,0
DA Warner,MP Stoinis,27,17,0
JP Duminy,IK Pathan,27,17,0
KA Pollard,S Nadeem,27,17,1
NV Ojha,RJ Harris,27,17,0
SR Watson,K Rabada,27,17,0
BA Stokes,SP Narine,26,17,1
BB McCullum,DE Bollinger,26,17,0
DJ Hussey,SK Warne,26,17,0
G Gambhir,PJ Cummins,26,17,0
GC Smith,R Vinay Kumar,26,17,0
GH Vihari,SL Malinga,26,17,2
KK Nair,Yuvraj Singh,26,17,1
KL Rahul,Washington Sundar,26,17,1
KP Pietersen,Yuvraj Singh,26,17,0
M Vijay,RA Jadeja,26,17,2
MN Samuels,SB Jakati,26,17,0
RG Sharma,Washington Sundar,26,17,2
RS Bopara,R Vinay Kumar,26,17,0
SE Marsh,RG Sharma,26,17,0
SM Katich,GD McGrath,26,17,0
STR Binny,I Sharma,26,17,0
V Kohli,PJ Cummins,26,17,0
WP Saha,VRV Singh,26,17,0
KC Sangakkara,M Kartik,25,17,1
SK Raina,M Muralitharan,25,17,1
STR Binny,SL Malinga,25,17,0
AT Rayudu,NM Coulter-Nile,24,17,0
DA Miller,PP Ojha,24,17,0
IK Pathan,R Bhatia,24,17,0
Ishan Kishan,JR Hazlewood,24,17,0
MK Tiwary,RP Singh,24,17,1
N Rana,M Markande,24,17,0
S Vidyut,PJ Sangwan,24,17,1
SK Raina,A Mithun,24,17,0
JP Duminy,VR Aaron,23,17,0
MA Agarwal,M Morkel,23,17,2
MEK Hussey,PP Ojha,23,17,1
MK Pandey,MS Gony,23,17,0
N Saini,RP Singh,23,17,0
RG Sharma,GB Hogg,23,17,1
SP Goswami,AB Agarkar,23,17,1
WP Saha,Shakib Al Hasan,23,17,0
AD Russell,Mohammed Siraj,22,17,1
AJ Finch,A Choudhary,22,17,0
CA Lynn,S Kaushik,22,17,0
CH Gayle,JP Faulkner,22,17,0
DA Warner,Basil Thampi,22,17,0
GC Smith,WPUJC Vaas,22,17,1
M Vohra,S Kaul,22,17,0
MK Tiwary,YK Pathan,22,17,1
PA Patel,STR Binny,22,17,0
R Ashwin,SL Malinga,22,17,3
RA Jadeja,DW Steyn,22,17,2
RG Sharma,P Dubey,22,17,0
S Badrinath,RP Singh,22,17,3
SK Raina,Gurkeerat Singh,22,17,0
SR Watson,S Sreesanth,22,17,0
BJ Hodge,S Gopal,21,17,0
CA Lynn,S Gopal,21,17,2
MC Henriques,SR Watson,21,17,2
MJ Guptill,A Mishra,21,17,1
OA Shah,JEC Franklin,21,17,0
P Negi,SL Malinga,21,17,2
R Sathish,M Kartik,21,17,0
RG Sharma,D Wiese,21,17,1
SP Fleming,DP Vijaykumar,21,17,1
TL Suman,PP Chawla,21,17,1
AD Russell,MM Sharma,20,17,1
DA Warner,LH Ferguson,20,17,0
DB Das,Harbhajan Singh,20,17,1
