bowler,batsman,inning,is_wicket,batsman_runs
Mustafizur Rahman,AD Russell,4,1,1
Mohammed Siraj,WP Saha,16,1,20
Mohammed Siraj,YK Pathan,10,1,8
Mujeeb Ur Rahman,C Munro,1,1,0
Mujeeb Ur Rahman,E Lewis,4,1,0
Mujeeb Ur Rahman,Ishan Kishan,12,1,7
Mujeeb Ur Rahman,JC Archer,1,1,0
Mujeeb Ur Rahman,JM Bairstow,20,1,24
Mujeeb Ur Rahman,N Rana,3,1,1
Mujeeb Ur Rahman,RA Tripathi,29,1,10
Mujeeb Ur Rahman,SP Narine,6,1,4
Mujeeb Ur Rahman,SS Iyer,40,1,25
Mujeeb Ur Rahman,SV Samson,22,1,11
Mujeeb Ur Rahman,Shakib Al Hasan,7,1,3
Mujeeb Ur Rahman,V Kohli,10,1,2
Mustafizur Rahman,AB de Villiers,19,1,7
N Rana,DJM Short,6,1,6
N Rana,PA Patel,4,1,0
NLTC Perera,KB Arun Karthik,2,1,0
NLTC Perera,AJ Finch,2,1,0
ND Doshi,BB McCullum,2,1,0
ND Doshi,Y Venugopal Rao,11,1,4
NLTC Perera,A Mishra,1,1,0
NLTC Perera,A Nehra,1,1,0
NLTC Perera,AB de Villiers,8,1,6
NLTC Perera,AD Mathews,14,1,11
NLTC Perera,AD Russell,30,1,22
NLTC Perera,AM Nayar,4,1,0
N Rana,RR Pant,18,1,6
NLTC Perera,AR Patel,1,1,0
NLTC Perera,B Kumar,8,1,13
NLTC Perera,DR Smith,12,1,7
NLTC Perera,DT Christian,2,1,1
NLTC Perera,IK Pathan,8,1,6
NLTC Perera,Ishan Kishan,2,1,0
NLTC Perera,J Botha,6,1,0
NB Singh,M Vohra,2,1,0
NA Saini,WP Saha,6,1,4
NA Saini,T Banton,18,1,13
NA Saini,Shubman Gill,28,1,9
N Rana,V Kohli,7,1,14
NA Saini,Abhishek Sharma,4,1,6
NA Saini,B Kumar,7,1,2
NA Saini,CA Ingram,5,1,10
NA Saini,CH Morris,6,1,0
NA Saini,DA Miller,8,1,3
NA Saini,DJ Bravo,2,1,0
NA Saini,JC Buttler,27,1,19
NA Saini,KD Karthik,19,1,14
NA Saini,MS Dhoni,44,1,21
NA Saini,Mohammad Nabi,3,1,4
NA Saini,N Jagadeesan,6,1,1
NA Saini,N Pooran,12,1,7
NA Saini,Rashid Khan,8,1,1
NA Saini,SS Iyer,33,1,20
P Awana,SK Raina,38,1,51
P Awana,SR Watson,29,1,38
P Awana,SS Tiwary,6,1,1
PD Collingwood,KC Sangakkara,18,1,9
PC Valthaty,B Chipli,5,1,5
PC Valthaty,DB Ravi Teja,13,1,10
PC Valthaty,DT Christian,8,1,15
PC Valthaty,IK Pathan,6,1,1
PC Valthaty,S Dhawan,14,1,9
PD Collingwood,AB Agarkar,8,1,6
PD Collingwood,DPMD Jayawardene,10,1,5
PD Collingwood,S Narwal,2,1,0
PJ Cummins,K Rabada,10,1,2
PD Collingwood,WPUJC Vaas,3,1,2
PJ Cummins,AB Dinda,2,1,0
PJ Cummins,AM Rahane,6,1,2
PJ Cummins,AT Rayudu,22,1,16
PJ Cummins,EJG Morgan,20,1,16
PJ Cummins,F du Plessis,22,1,19
PJ Cummins,Ishan Kishan,4,1,3
PC Valthaty,AUK Pathan,8,1,7
PC Valthaty,A Mishra,1,1,0
P Suyal,V Kohli,4,1,0
P Suyal,DJ Bravo,16,1,9
P Negi,SA Yadav,19,1,11
P Negi,SE Marsh,7,1,6
P Negi,SK Raina,16,1,24
P Negi,WP Saha,8,1,8
P Negi,Yuvraj Singh,8,1,6
P Parameswaran,AD Russell,6,1,6
P Parameswaran,DPMD Jayawardene,2,1,0
P Parameswaran,ND Doshi,1,1,0
P Parameswaran,SR Watson,3,1,2
P Parameswaran,UT Yadav,4,1,0
P Parameswaran,V Sehwag,3,1,6
P Parameswaran,Y Venugopal Rao,12,1,8
P Sahu,AJ Finch,14,1,12
P Sahu,G Gambhir,22,1,6
P Sahu,RV Uthappa,8,1,6
PJ Cummins,JM Bairstow,23,1,8
PJ Cummins,KA Pollard,19,1,21
P Negi,RR Pant,2,1,0
PJ Sangwan,LRPL Taylor,13,1,10
PJ Sangwan,DPMD Jayawardene,8,1,7
PJ Sangwan,GC Smith,42,1,22
PJ Sangwan,Harbhajan Singh,6,1,7
PJ Sangwan,JA Morkel,19,1,20
PJ Sangwan,JH Kallis,51,1,31
PJ Sangwan,KK Nair,22,1,15
PJ Sangwan,KP Pietersen,8,1,4
PJ Sangwan,MJ Guptill,5,1,2
PJ Cummins,KD Karthik,10,1,14
PJ Sangwan,Mohammad Ashraful,4,1,0
PJ Sangwan,PA Patel,19,1,18
PJ Sangwan,RG Sharma,24,1,12
PJ Sangwan,RR Pant,16,1,21
PJ Sangwan,S Vidyut,24,1,17
PJ Sangwan,SA Asnodkar,10,1,10
PJ Sangwan,SE Marsh,4,1,1
PJ Sangwan,BJ Hodge,6,1,3
PJ Sangwan,BB McCullum,10,1,8
PJ Sangwan,AP Tare,8,1,16
PJ Sangwan,AC Gilchrist,16,1,17
PJ Cummins,MK Tiwary,30,1,20
PJ Cummins,MM Sharma,6,1,1
PJ Cummins,MS Dhoni,9,1,5
PJ Cummins,Mandeep Singh,34,1,32
PJ Cummins,N Rana,2,1,0
PJ Cummins,R Parag,8,1,0
PJ Cummins,RD Gaikwad,18,1,8
PJ Cummins,S Dhawan,17,1,19
PJ Cummins,SA Yadav,13,1,5
PJ Cummins,SK Raina,19,1,19
PJ Cummins,Sachin Baby,5,1,4
PJ Cummins,V Shankar,8,1,1
PJ Cummins,Vishnu Vinod,3,1,1
PJ Sangwan,A Chopra,10,1,6
PJ Sangwan,AB Agarkar,8,1,17
P Negi,RV Uthappa,45,1,24
P Negi,RG Sharma,55,1,39
P Awana,SV Samson,22,1,26
P Kumar,M Muralitharan,1,1,0
P Kumar,KC Sangakkara,23,1,33
P Kumar,KD Karthik,20,1,24
P Kumar,KM Jadhav,17,1,35
P Kumar,KS Williamson,8,1,1
P Kumar,LRPL Taylor,4,1,1
P Kumar,M Kartik,1,1,0
P Kumar,M Manhas,22,1,7
P Kumar,M Rawat,4,1,0
P Kumar,P Dogra,1,1,0
P Kumar,M Vijay,73,1,85
P Kumar,MC Henriques,25,1,28
P Kumar,MM Sharma,2,1,1
P Kumar,MN Samuels,16,1,8
P Kumar,MS Bisla,59,1,24
P Kumar,MS Dhoni,38,1,46
P Kumar,MS Gony,6,1,4
P Kumar,KC Cariappa,2,1,1
P Kumar,JEC Franklin,31,1,33
P Kumar,JD Ryder,40,1,25
P Kumar,JA Morkel,31,1,19
P Awana,WP Saha,11,1,3
P Awana,Y Venugopal Rao,6,1,10
P Kumar,AA Jhunjhunwala,10,1,1
P Kumar,AC Blizzard,14,1,12
P Kumar,AM Nayar,14,1,15
P Kumar,AR Patel,15,1,6
P Kumar,Anureet Singh,2,1,0
P Kumar,BB McCullum,47,1,41
P Kumar,CH Gayle,127,1,103
P Kumar,DJ Bravo,35,1,27
P Kumar,DPMD Jayawardene,69,1,36
P Kumar,DR Martyn,3,1,4
P Kumar,DR Smith,68,1,41
P Kumar,GJ Maxwell,6,1,0
P Kumar,HH Pandya,5,1,6
P Kumar,Mandeep Singh,2,1,0
P Kumar,PP Chawla,2,1,0
P Negi,PP Shaw,6,1,1
P Negi,JA Morkel,6,1,7
P Negi,AL Menaria,4,1,2
P Negi,AM Rahane,41,1,21
P Negi,BB McCullum,42,1,31
P Negi,BJ Hodge,1,1,0
P Negi,C de Grandhomme,16,1,9
P Negi,DA Miller,21,1,10
P Negi,Gurkeerat Singh,5,1,8
P Negi,JC Buttler,6,1,6
P Kumar,Q de Kock,50,1,30
P Negi,KH Pandya,18,1,6
P Negi,M Vohra,13,1,20
P Negi,MC Henriques,4,1,6
P Negi,MK Pandey,21,1,11
P Negi,Mohammed Shami,6,1,1
P Negi,N Rana,28,1,18
P Negi,NM Coulter-Nile,3,1,1
P Negi,A Mishra,12,1,9
P Kumar,Yuvraj Singh,51,1,21
P Kumar,YK Pathan,39,1,32
P Kumar,Y Venugopal Rao,18,1,13
P Kumar,R Dravid,44,1,30
P Kumar,RG Sharma,89,1,81
P Kumar,RR Sarwan,14,1,6
P Kumar,RS Bopara,50,1,60
P Kumar,RV Uthappa,55,1,56
P Kumar,S Anirudha,1,1,0
P Kumar,S Narwal,1,1,0
P Kumar,SB Jakati,5,1,6
P Kumar,SMSM Senanayake,4,1,1
P Kumar,SS Iyer,14,1,16
P Kumar,STR Binny,26,1,6
P Kumar,Shahid Afridi,2,1,0
P Kumar,TR Birt,8,1,6
P Kumar,V Kohli,68,1,69
P Kumar,VVS Laxman,13,1,5
R Rampaul,SPD Smith,6,1,0
R Rampaul,SR Watson,18,1,10
R Sathish,AM Rahane,12,1,10
Ravi Bishnoi,JM Bairstow,10,1,17
Rashid Khan,Shubman Gill,43,1,22
Rashid Khan,TM Head,18,1,15
Rashid Khan,V Kohli,28,1,18
Rashid Khan,WP Saha,8,1,1
Rashid Khan,YK Pathan,12,1,5
Ravi Bishnoi,AJ Finch,14,1,7
Ravi Bishnoi,Abdul Samad,5,1,7
Ravi Bishnoi,KH Pandya,6,1,3
Rashid Khan,SS Tiwary,1,1,0
Ravi Bishnoi,PJ Cummins,4,1,0
Ravi Bishnoi,RG Sharma,11,1,14
Ravi Bishnoi,RR Pant,21,1,20
Ravi Bishnoi,SPD Smith,22,1,16
Ravi Bishnoi,UT Yadav,4,1,0
Ravi Bishnoi,Washington Sundar,14,1,11
S Aravind,AC Blizzard,2,1,0
Rashid Khan,SV Samson,85,1,44
Rashid Khan,SPD Smith,40,1,20
R Sathish,GC Smith,2,1,0
Rashid Khan,MP Stoinis,10,1,5
Rashid Khan,KA Pollard,40,1,23
Rashid Khan,KH Pandya,27,1,16
Rashid Khan,KK Nair,27,1,12
Rashid Khan,KM Jadhav,14,1,6
Rashid Khan,LS Livingstone,16,1,15
Rashid Khan,MA Agarwal,45,1,23
Rashid Khan,MM Ali,15,1,22
Rashid Khan,Mohammed Shami,2,1,0
Rashid Khan,S Dhawan,35,1,22
Rashid Khan,N Pooran,28,1,7
Rashid Khan,N Rana,71,1,56
Rashid Khan,NV Ojha,1,1,0
Rashid Khan,PP Chawla,12,1,4
Rashid Khan,PP Shaw,13,1,13
Rashid Khan,Q de Kock,22,1,14
Rashid Khan,RG Sharma,16,1,18
S Aravind,AM Nayar,6,1,0
S Aravind,BJ Hodge,2,1,0
S Aravind,DA Miller,22,1,7
S Aravind,SPD Smith,11,1,9
S Aravind,R Dravid,10,1,12
S Aravind,R McLaren,4,1,0
S Aravind,RJ Harris,2,1,0
S Aravind,RR Pant,1,1,0
S Aravind,RV Gomez,5,1,0
S Aravind,SA Yadav,7,1,11
S Aravind,SE Marsh,27,1,23
S Aravind,SS Iyer,10,1,0
S Aravind,DA Warner,11,1,15
S Aravind,STR Binny,2,1,0
S Aravind,TD Paine,20,1,3
S Aravind,WP Saha,28,1,33
S Aravind,YK Pathan,20,1,28
S Badree,BB McCullum,4,1,1
S Badree,CM Gautam,8,1,9
S Badree,Ishan Kishan,16,1,12
S Aravind,R Ashwin,3,1,1
S Aravind,PA Patel,8,1,3
S Aravind,NV Ojha,1,1,0
S Aravind,MS Dhoni,15,1,22
S Aravind,DJ Hooda,5,1,2
S Aravind,DT Christian,3,1,1
S Aravind,EJG Morgan,4,1,4
S Aravind,GJ Bailey,4,1,1
S Aravind,GJ Maxwell,6,1,4
S Aravind,HM Amla,6,1,7
S Aravind,Harbhajan Singh,6,1,1
S Aravind,J Botha,2,1,1
S Aravind,JP Faulkner,10,1,4
S Aravind,KA Pollard,46,1,28
S Aravind,KD Karthik,10,1,4
S Aravind,Kuldeep Yadav,3,1,0
S Aravind,LMP Simmons,28,1,10
S Aravind,MJ Guptill,5,1,5
S Aravind,MK Pandey,10,1,16
Rashid Khan,JR Philippe,8,1,3
Rashid Khan,Ishan Kishan,35,1,47
Rashid Khan,G Gambhir,23,1,7
RR Powar,DA Warner,11,1,6
RP Singh,SS Tiwary,20,1,18
RP Singh,SW Tait,2,1,1
RP Singh,Shakib Al Hasan,4,1,0
RP Singh,T Taibu,2,1,4
RP Singh,V Sehwag,79,1,88
RP Singh,YK Pathan,50,1,44
RP Singh,Yuvraj Singh,4,1,2
RR Powar,DJ Bravo,8,1,2
RR Powar,YK Pathan,7,1,9
RR Powar,G Gambhir,18,1,23
RR Powar,GC Smith,16,1,14
RR Powar,GJ Bailey,1,1,0
RR Powar,M Vijay,19,1,10
RR Powar,PA Patel,60,1,33
RR Powar,S Dhawan,13,1,15
RR Powar,TL Suman,2,1,0
RP Singh,SK Warne,9,1,3
RP Singh,SK Trivedi,10,1,1
RP Singh,SK Raina,30,1,26
RP Singh,SE Marsh,70,1,59
RP Singh,MJ Lumb,17,1,21
RP Singh,MK Tiwary,24,1,17
RP Singh,MS Dhoni,44,1,44
RP Singh,Mandeep Singh,21,1,9
RP Singh,NLTC Perera,5,1,4
RP Singh,PA Patel,44,1,23
RP Singh,PA Reddy,7,1,7
RP Singh,PC Valthaty,10,1,12
RP Singh,PJ Sangwan,3,1,4
RP Singh,PP Chawla,21,1,15
RP Singh,PR Shah,4,1,5
RP Singh,R McLaren,4,1,5
RP Singh,RA Jadeja,46,1,33
RP Singh,RE van der Merwe,18,1,14
RP Singh,S Anirudha,11,1,8
RR Powar,TR Birt,4,1,1
RR Raje,AC Gilchrist,5,1,4
Rashid Khan,F du Plessis,21,1,7
Rashid Khan,C Munro,12,1,1
RV Gomez,RN ten Doeschate,2,1,0
RV Gomez,S Badrinath,4,1,3
RV Gomez,SS Tiwary,4,1,1
Rashid Khan,AD Russell,18,1,10
Rashid Khan,AM Rahane,55,1,41
Rashid Khan,BB McCullum,4,1,2
Rashid Khan,BCJ Cutting,3,1,4
Rashid Khan,C de Grandhomme,46,1,33
RR Raje,LR Shukla,1,1,0
Rashid Khan,CA Lynn,40,1,23
Rashid Khan,CH Gayle,29,1,51
Rashid Khan,CH Morris,10,1,3
Rashid Khan,DJ Bravo,10,1,2
Rashid Khan,DJ Hooda,1,1,0
Rashid Khan,DR Smith,10,1,18
Rashid Khan,EJG Morgan,49,1,19
RV Gomez,JH Kallis,12,1,2
RV Gomez,G Gambhir,2,1,0
RV Gomez,DJ Jacobs,4,1,5
RS Bopara,V Kohli,18,1,12
RR Raje,M Kaif,13,1,6
RR Raje,SA Asnodkar,7,1,4
RR Raje,Shoaib Akhtar,2,1,0
RS Bopara,AD Russell,8,1,5
RS Bopara,BB McCullum,9,1,9
RS Bopara,DJ Bravo,8,1,8
RS Bopara,KK Nair,6,1,0
RS Bopara,MJ Lumb,4,1,0
RS Bopara,Mandeep Singh,1,1,0
RS Bopara,S Dhawan,8,1,2
RS Bopara,SC Ganguly,7,1,5
RS Bopara,SK Raina,4,1,3
RS Bopara,SPD Smith,16,1,9
RS Bopara,SS Tiwary,20,1,12
RS Bopara,SV Samson,14,1,8
S Badree,KK Nair,3,1,1
S Badree,MJ McClenaghan,2,1,0
S Badree,N Rana,16,1,2
S Lamichhane,SK Raina,8,1,3
S Lamichhane,KA Pollard,2,1,0
S Lamichhane,KH Pandya,6,1,4
S Lamichhane,KL Rahul,4,1,10
S Lamichhane,MM Ali,10,1,10
S Lamichhane,NS Naik,9,1,1
S Lamichhane,PA Patel,22,1,19
S Lamichhane,SA Yadav,8,1,12
S Lamichhane,SN Khan,8,1,6
S Nadeem,EJG Morgan,11,1,7
S Lamichhane,Shubman Gill,1,1,2
S Nadeem,AB McDonald,4,1,0
S Nadeem,AB de Villiers,69,1,77
S Nadeem,AC Blizzard,5,1,3
S Nadeem,CH Gayle,2,1,1
S Nadeem,CL White,32,1,27
S Nadeem,DJ Jacobs,5,1,0
S Lamichhane,DJ Hooda,6,1,3
S Lamichhane,CH Gayle,8,1,22
S Ladda,P Dogra,25,1,19
S Ladda,KA Pollard,8,1,17
S Kaul,SP Narine,6,1,3
S Kaul,SPD Smith,11,1,8
S Kaul,SS Iyer,45,1,25
S Kaul,SV Samson,78,1,82
S Kaul,Shivam Mavi,8,1,5
S Kaul,WP Saha,4,1,1
S Kaushik,BCJ Cutting,4,1,1
S Kaushik,GJ Maxwell,1,1,0
S Kaushik,M Vijay,10,1,9
S Kaushik,Q de Kock,12,1,3
S Kaushik,SE Marsh,2,1,1
S Kaushik,Yuvraj Singh,16,1,2
S Ladda,AC Gilchrist,8,1,16
S Ladda,DA Miller,4,1,6
S Ladda,DJ Bravo,3,1,8
S Nadeem,DJM Short,6,1,7
S Nadeem,F du Plessis,16,1,23
S Kaul,SK Raina,26,1,23
S Randiv,JH Kallis,28,1,9
S Nadeem,WP Saha,10,1,11
S Narwal,AC Gilchrist,3,1,1
S Narwal,DA Warner,6,1,3
S Narwal,R Sharma,5,1,10
S Narwal,V Sehwag,2,1,1
S Randiv,AT Rayudu,2,1,1
S Randiv,CA Pujara,4,1,1
S Randiv,MK Tiwary,22,1,22
S Nadeem,HM Amla,13,1,7
S Randiv,R Dravid,15,1,24
S Randiv,SE Marsh,16,1,7
S Randiv,SS Tiwary,6,1,2
S Randiv,Sunny Singh,6,1,2
S Sandeep Warrier,CH Gayle,6,1,10
S Sandeep Warrier,KL Rahul,5,1,1
S Sreesanth,AM Rahane,5,1,7
S Nadeem,V Kohli,78,1,56
S Nadeem,SPD Smith,35,1,54
S Nadeem,SA Yadav,14,1,23
S Nadeem,S Sohal,6,1,5
S Nadeem,JD Ryder,17,1,28
S Nadeem,JH Kallis,23,1,14
S Nadeem,JP Duminy,2,1,1
S Nadeem,KA Pollard,27,1,17
S Nadeem,KD Karthik,26,1,40
S Nadeem,KH Pandya,9,1,14
S Nadeem,KK Nair,13,1,5
S Nadeem,M Vohra,18,1,14
S Nadeem,MA Agarwal,10,1,7
S Nadeem,MC Henriques,9,1,10
S Nadeem,MK Tiwary,30,1,13
S Nadeem,MM Ali,1,1,0
S Nadeem,MP Stoinis,22,1,18
S Nadeem,RE Levi,1,1,0
S Nadeem,RG Sharma,65,1,69
S Kaul,SN Thakur,11,1,15
S Kaul,SA Yadav,21,1,30
S Badree,PA Patel,16,1,3
S Gopal,RA Tripathi,6,1,9
S Gopal,MM Ali,4,1,1
S Gopal,MP Stoinis,33,1,38
S Gopal,MS Dhoni,43,1,34
S Gopal,Mandeep Singh,12,1,3
S Gopal,N Rana,16,1,8
S Gopal,PA Patel,13,1,6
S Gopal,Q de Kock,31,1,18
S Gopal,SA Yadav,40,1,64
S Gopal,V Shankar,30,1,19
S Gopal,SE Rutherford,6,1,6
S Gopal,SK Raina,19,1,25
S Gopal,SM Curran,10,1,8
S Gopal,SO Hetmyer,4,1,0
S Gopal,SS Iyer,23,1,24
S Gopal,STR Binny,10,1,1
S Gopal,SV Samson,7,1,10
S Gopal,M Vohra,10,1,10
S Gopal,KS Williamson,27,1,10
S Gopal,KA Pollard,10,1,7
S Gopal,JM Bairstow,34,1,21
S Badree,RG Sharma,5,1,2
S Badree,RV Uthappa,1,1,0
S Dhawan,DA Warner,16,1,9
S Dhawan,SC Ganguly,4,1,0
S Dhawan,SE Marsh,7,1,5
S Dhawan,V Sehwag,4,1,4
S Dube,Abhishek Sharma,4,1,2
S Dube,GJ Maxwell,5,1,4
S Dube,MR Marsh,2,1,0
S Dube,N Pooran,1,1,0
S Dube,PK Garg,14,1,3
S Gopal,AM Rahane,32,1,17
S Gopal,Ankit Sharma,8,1,4
S Gopal,GJ Maxwell,1,1,0
S Gopal,Ishan Kishan,13,1,18
S Gopal,SW Billings,4,1,1
S Kaul,AB de Villiers,21,1,48
S Kaul,S Dhawan,8,1,1
S Kaul,MS Dhoni,46,1,55
S Kaul,KK Nair,38,1,44
S Kaul,LJ Wright,2,1,1
S Kaul,M Markande,7,1,7
S Kaul,MA Agarwal,29,1,23
S Kaul,MJ McClenaghan,2,1,0
S Kaul,MK Lomror,8,1,4
S Kaul,MM Ali,13,1,12
S Kaul,N Rana,23,1,8
S Kaul,AD Mathews,19,1,17
S Kaul,PA Patel,17,1,13
S Kaul,PA Reddy,4,1,0
S Kaul,PP Chawla,8,1,2
S Kaul,Q de Kock,10,1,19
S Kaul,R Dravid,26,1,11
S Kaul,RG Sharma,9,1,9
S Kaul,RV Uthappa,52,1,35
S Kaul,KH Pandya,26,1,36
S Kaul,K Rabada,2,1,0
S Kaul,K Gowtham,4,1,1
S Kaul,JD Unadkat,2,1,1
S Kaul,AD Russell,16,1,22
S Kaul,AJ Finch,13,1,14
S Kaul,AM Rahane,59,1,37
S Kaul,AR Patel,10,1,17
S Kaul,Ankit Soni,3,1,0
S Kaul,BB Sran,8,1,1
S Kaul,CA Ingram,3,1,1
S Kaul,CA Lynn,42,1,48
S Kaul,CA Pujara,4,1,4
S Kaul,DT Christian,4,1,6
S Kaul,E Lewis,4,1,6
S Kaul,G Gambhir,36,1,30
S Kaul,GJ Maxwell,5,1,6
S Kaul,I Sharma,6,1,0
S Kaul,Ishan Kishan,21,1,27
RP Singh,MEK Hussey,31,1,28
RP Singh,LRPL Taylor,6,1,1
RP Singh,L Ronchi,5,1,5
R Vinay Kumar,OA Shah,9,1,24
R Vinay Kumar,MA Agarwal,24,1,22
R Vinay Kumar,MG Johnson,10,1,9
R Vinay Kumar,MJ Clarke,16,1,12
R Vinay Kumar,ML Hayden,19,1,40
R Vinay Kumar,MR Marsh,20,1,4
R Vinay Kumar,MS Dhoni,45,1,33
R Vinay Kumar,NV Ojha,39,1,28
R Vinay Kumar,P Negi,17,1,15
R Vinay Kumar,TL Suman,30,1,24
R Vinay Kumar,PA Reddy,17,1,12
R Vinay Kumar,R Bhatia,11,1,20
R Vinay Kumar,R Sharma,16,1,1
R Vinay Kumar,S Sreesanth,2,1,0
R Vinay Kumar,SE Marsh,45,1,23
R Vinay Kumar,SK Raina,106,1,98
R Vinay Kumar,SR Watson,57,1,64
R Vinay Kumar,M Vijay,59,1,51
R Vinay Kumar,LRPL Taylor,8,1,1
R Vinay Kumar,L Balaji,7,1,1
R Vinay Kumar,KM Jadhav,22,1,37
R Vinay Kumar,CH Gayle,6,1,0
R Vinay Kumar,CH Morris,16,1,9
R Vinay Kumar,CR Woakes,1,1,0
R Vinay Kumar,DA Warner,4,1,5
R Vinay Kumar,DJG Sammy,4,1,7
R Vinay Kumar,EJG Morgan,30,1,18
R Vinay Kumar,F du Plessis,58,1,18
R Vinay Kumar,HH Gibbs,22,1,30
R Vinay Kumar,I Sharma,2,1,0
R Vinay Kumar,JD Ryder,7,1,3
R Vinay Kumar,JEC Franklin,2,1,0
R Vinay Kumar,JO Holder,1,1,0
R Vinay Kumar,JR Hopes,4,1,0
R Vinay Kumar,KC Sangakkara,31,1,34
R Vinay Kumar,KK Nair,18,1,7
R Vinay Kumar,SV Samson,67,1,45
R Vinay Kumar,TR Birt,11,1,26
R Vinay Kumar,BJ Rohrer,8,1,2
RA Jadeja,HH Pandya,14,1,16
RA Jadeja,DJ Hooda,33,1,24
RA Jadeja,DJG Sammy,10,1,8
RA Jadeja,DR Smith,23,1,23
RA Jadeja,DW Steyn,20,1,4
RA Jadeja,GC Smith,4,1,2
RA Jadeja,GJ Bailey,6,1,3
RA Jadeja,Gurkeerat Singh,14,1,13
RA Jadeja,IK Pathan,8,1,0
R Vinay Kumar,UBT Chand,26,1,15
RA Jadeja,J Botha,13,1,10
RA Jadeja,JDS Neesham,18,1,15
RA Jadeja,JM Bairstow,44,1,20
RA Jadeja,JP Faulkner,5,1,1
RA Jadeja,KK Nair,32,1,22
RA Jadeja,KM Jadhav,36,1,39
RA Jadeja,KMA Paul,2,1,0
RA Jadeja,DB Ravi Teja,5,1,1
RA Jadeja,DA Miller,68,1,85
RA Jadeja,CH Morris,6,1,2
RA Jadeja,CH Gayle,27,1,42
R Vinay Kumar,V Kohli,42,1,26
R Vinay Kumar,Y Venugopal Rao,28,1,23
R Vinay Kumar,Yuvraj Singh,18,1,7
RA Jadeja,A Symonds,9,1,9
RA Jadeja,AB de Villiers,117,1,110
RA Jadeja,AC Gilchrist,3,1,2
RA Jadeja,AD Nath,9,1,13
RA Jadeja,AJ Finch,23,1,34
RA Jadeja,AT Rayudu,49,1,50
RA Jadeja,B Chipli,12,1,7
RA Jadeja,BMAJ Mendis,10,1,5
RA Jadeja,C Munro,5,1,3
RA Jadeja,C de Grandhomme,5,1,2
RA Jadeja,CA Ingram,4,1,0
RA Jadeja,CA Lynn,19,1,33
R Vinay Kumar,CA Lynn,4,1,0
R Vinay Kumar,BB McCullum,54,1,94
RA Jadeja,LR Shukla,22,1,14
R Sharma,R Dravid,43,1,32
R Sharma,KP Pietersen,38,1,29
R Sharma,KV Sharma,4,1,1
R Sharma,MS Dhoni,26,1,21
R Sharma,MS Wade,13,1,6
R Sharma,PA Patel,6,1,1
R Sharma,PC Valthaty,4,1,2
R Sharma,PP Chawla,29,1,12
R Sharma,RG Sharma,25,1,11
R Shukla,CH Gayle,3,1,0
R Sharma,S Sohal,12,1,10
R Sharma,SK Raina,25,1,16
R Sharma,TL Suman,3,1,1
R Sharma,TM Dilshan,16,1,15
R Sharma,UBT Chand,5,1,7
R Sharma,V Kohli,44,1,46
R Sharma,WP Saha,3,1,1
R Sharma,KA Pollard,17,1,4
R Sharma,JH Kallis,2,1,0
R Sharma,J Botha,4,1,2
R Sharma,F du Plessis,19,1,18
R Sathish,MS Dhoni,1,1,1
R Sathish,NLTC Perera,5,1,8
R Sathish,P Dogra,14,1,22
R Sathish,SC Ganguly,6,1,1
R Sharma,AB de Villiers,15,1,10
R Sharma,AC Gilchrist,3,1,0
R Sharma,AL Menaria,12,1,2
R Sharma,AM Rahane,38,1,29
R Sharma,BB Samantray,15,1,16
R Sharma,BJ Hodge,13,1,11
R Sharma,CH Gayle,22,1,41
R Sharma,DA Warner,18,1,25
R Sharma,DH Yagnik,4,1,3
R Sharma,DJ Bravo,13,1,13
R Sharma,DJ Hussey,18,1,14
R Shukla,AJ Finch,2,1,0
R Shukla,DA Warner,26,1,21
R Vinay Kumar,B Chipli,1,1,0
R Vinay Kumar,AA Bilakhia,5,1,4
R Tewatia,SM Curran,11,1,15
R Tewatia,SP Narine,2,1,0
R Tewatia,SR Watson,10,1,17
R Tewatia,TK Curran,2,1,1
R Tewatia,VH Zol,2,1,1
R Tewatia,WP Saha,6,1,4
R Tewatia,Yuvraj Singh,17,1,13
R Vinay Kumar,AB Dinda,1,1,0
R Shukla,DPMD Jayawardene,12,1,7
R Vinay Kumar,AB de Villiers,31,1,16
R Vinay Kumar,AC Gilchrist,28,1,17
R Vinay Kumar,AC Thomas,2,1,0
R Vinay Kumar,AG Paunikar,1,1,0
R Vinay Kumar,AJ Finch,14,1,1
R Vinay Kumar,AN Ghosh,5,1,6
R Vinay Kumar,AS Yadav,2,1,1
R Tewatia,SE Marsh,40,1,46
R Tewatia,SA Yadav,18,1,17
R Tewatia,RV Uthappa,21,1,19
R Tewatia,RG Sharma,12,1,3
R Shukla,JH Kallis,4,1,0
R Shukla,JP Faulkner,4,1,13
R Shukla,MS Bisla,2,1,0
R Tewatia,AT Rayudu,6,1,2
R Tewatia,D Padikkal,50,1,18
R Tewatia,E Lewis,8,1,9
R Tewatia,G Gambhir,18,1,9
R Tewatia,GJ Maxwell,6,1,0
R Tewatia,JM Bairstow,6,1,1
R Tewatia,KD Karthik,1,1,0
R Tewatia,M Vohra,3,1,1
R Tewatia,MJ McClenaghan,4,1,0
R Tewatia,N Rana,13,1,13
R Tewatia,PP Chawla,3,1,0
R Tewatia,RD Gaikwad,2,1,0
RA Jadeja,KV Sharma,14,1,12
RA Jadeja,M Prasidh Krishna,2,1,0
RP Singh,L Balaji,8,1,5
RJ Harris,MR Marsh,9,1,1
RJ Harris,KA Pollard,15,1,23
